"Step","phase1-reasoning - tech/step","phase1-reasoning - tech/step__MIN","phase1-reasoning - tech/step__MAX"
"281","2175","2175","2175"
"282","2183","2183","2183"
"283","2191","2191","2191"
"284","2199","2199","2199"
"286","2207","2207","2207"
"287","2215","2215","2215"
"288","2223","2223","2223"
"289","2231","2231","2231"
"290","2239","2239","2239"
"291","2247","2247","2247"
"292","2255","2255","2255"
"293","2263","2263","2263"
"294","2271","2271","2271"
"295","2279","2279","2279"
"296","2287","2287","2287"
"297","2295","2295","2295"
"298","2303","2303","2303"
"299","2311","2311","2311"
"300","2319","2319","2319"
"301","2327","2327","2327"
"302","2335","2335","2335"
"303","2343","2343","2343"
"304","2351","2351","2351"
"305","2359","2359","2359"
"306","2367","2367","2367"
"307","2375","2375","2375"
"308","2383","2383","2383"
"309","2391","2391","2391"
"310","2399","2399","2399"
"312","2407","2407","2407"
"313","2415","2415","2415"
"314","2423","2423","2423"
"315","2431","2431","2431"
"316","2439","2439","2439"
"317","2447","2447","2447"
"318","2455","2455","2455"
"319","2463","2463","2463"
"320","2471","2471","2471"
"321","2479","2479","2479"
"322","2487","2487","2487"
"323","2495","2495","2495"
"324","2503","2503","2503"
"325","2511","2511","2511"
"326","2519","2519","2519"
"327","2527","2527","2527"
"328","2535","2535","2535"
"329","2543","2543","2543"
"330","2551","2551","2551"
"331","2559","2559","2559"
"332","2567","2567","2567"
"333","2575","2575","2575"
"334","2583","2583","2583"
"335","2591","2591","2591"
"336","2599","2599","2599"
"338","2607","2607","2607"
"339","2615","2615","2615"
"340","2623","2623","2623"
"341","2631","2631","2631"
"342","2639","2639","2639"
"343","2647","2647","2647"
"344","2655","2655","2655"
"345","2663","2663","2663"
"346","2671","2671","2671"
"347","2679","2679","2679"
"348","2687","2687","2687"
"349","2695","2695","2695"
"350","2703","2703","2703"
"351","2711","2711","2711"
"352","2719","2719","2719"
"353","2727","2727","2727"
"354","2735","2735","2735"
"355","2743","2743","2743"
"356","2751","2751","2751"
"357","2759","2759","2759"
"358","2767","2767","2767"
"359","2775","2775","2775"
"360","2783","2783","2783"
"361","2791","2791","2791"
"362","2799","2799","2799"
"364","2807","2807","2807"
"365","2815","2815","2815"
"366","2823","2823","2823"
"367","2831","2831","2831"
"368","2839","2839","2839"
"369","2847","2847","2847"
"370","2855","2855","2855"
