"Step","phase1-reasoning - tech/scaler","phase1-reasoning - tech/scaler__MIN","phase1-reasoning - tech/scaler__MAX"
"162","2048","2048","2048"
"163","2048","2048","2048"
"164","2048","2048","2048"
"165","2048","2048","2048"
"166","2048","2048","2048"
"167","2048","2048","2048"
"168","2048","2048","2048"
"169","2048","2048","2048"
"170","2048","2048","2048"
"171","2048","2048","2048"
"172","2048","2048","2048"
"173","2048","2048","2048"
"174","2048","2048","2048"
"175","2048","2048","2048"
"176","2048","2048","2048"
"177","2048","2048","2048"
"178","2048","2048","2048"
"179","2048","2048","2048"
"180","2048","2048","2048"
"182","2048","2048","2048"
"183","2048","2048","2048"
"184","2048","2048","2048"
"185","2048","2048","2048"
"186","2048","2048","2048"
"187","2048","2048","2048"
"188","2048","2048","2048"
"189","2048","2048","2048"
"190","2048","2048","2048"
"191","2048","2048","2048"
"192","2048","2048","2048"
"193","2048","2048","2048"
"194","2048","2048","2048"
"195","2048","2048","2048"
"196","2048","2048","2048"
"197","2048","2048","2048"
"198","2048","2048","2048"
"199","2048","2048","2048"
"200","2048","2048","2048"
"201","2048","2048","2048"
"202","2048","2048","2048"
"203","2048","2048","2048"
"204","2048","2048","2048"
"205","2048","2048","2048"
"206","2048","2048","2048"
"208","2048","2048","2048"
"209","2048","2048","2048"
"210","2048","2048","2048"
"211","2048","2048","2048"
"212","2048","2048","2048"
"213","2048","2048","2048"
"214","2048","2048","2048"
"215","2048","2048","2048"
"216","2048","2048","2048"
"217","2048","2048","2048"
"218","2048","2048","2048"
"219","2048","2048","2048"
"220","2048","2048","2048"
"221","2048","2048","2048"
"222","2048","2048","2048"
"223","2048","2048","2048"
"224","2048","2048","2048"
"225","2048","2048","2048"
"226","2048","2048","2048"
"227","2048","2048","2048"
"228","2048","2048","2048"
"229","2048","2048","2048"
"230","2048","2048","2048"
"231","2048","2048","2048"
"232","2048","2048","2048"
